Sample;Frequency (GHz);LG (mV) mean;HG (mV) mean;LG (mV) std deviation;HG (mV) std deviation;LG (mV) variance;HG (mV) variance;Thickness (mm)
C1;110;47.27968111;-0.014898151;19.00648752;0.708833343;361.2465678;0.502444708;2.05
C1;120;128.5941822;0.000165708;30.63323708;0.7108018;938.3952137;0.505239198;2.05
C1;130;48.69442127;-0.001653381;6.80654367;0.748613744;46.32903673;0.560422537;2.05
C1;140;82.92989696;0.003411022;12.6027119;0.731754452;158.8283471;0.535464578;2.05
C1;150;54.20869749;0.002861632;7.415735476;0.747161696;54.99313265;0.5582506;2.05
C1;160;21.90181308;-0.006614675;3.295762129;0.755914336;10.86204801;0.571406483;2.05
C1;170;13.01673279;-0.004298269;2.736578366;0.752035254;7.488861155;0.565557023;2.05
C1;180;16.00109647;-0.003082744;3.560995401;0.736762406;12.68068825;0.542818842;2.05
C1;190;11.83691218;-0.00740738;2.563171204;0.746918941;6.569846619;0.557887904;2.05
C1;200;4.192353993;0.179841981;2.099845154;0.753275402;4.409349672;0.567423831;2.05
C1;210;5.380143302;0.217568748;1.138160512;0.749970983;1.295409351;0.562456476;2.05
C1;220;5.364282165;0.260951787;1.095134564;0.754929477;1.199319713;0.569918515;2.05
C1;230;2.03042083;28.10357167;0.884973909;31.17515031;0.783178819;971.8899967;2.05
C1;240;5.801874238;0.105606729;1.195869911;0.758541176;1.430104844;0.575384715;2.05
C1;250;1.249471494;728.9657279;0.966629837;23.53831483;0.934373242;554.052265;2.05
C1;260;4.001973808;0.235675385;1.070460903;0.783211165;1.145886544;0.613419728;2.05
C1;270;2.830091828;0.183167458;0.98901115;0.751735361;0.978143054;0.565106053;2.05
C1;280;2.260416505;0.059921891;1.029451959;0.760657469;1.059771337;0.578599785;2.05
C1;290;0.754814133;645.9773707;0.984290498;58.43390079;0.968827784;3414.520762;2.05
C1;300;1.96135064;0.012418827;0.933534428;0.769671865;0.871486529;0.59239478;2.05
C1;310;1.044027834;774.9540608;0.960024219;37.17603414;0.921646501;1382.057514;2.05
C1;320;1.052744615;815.5893757;1.022533932;34.69836627;1.045575642;1203.976622;2.05
C1;330;0.887626114;731.4691048;0.998091808;21.79295167;0.996187258;474.9327423;2.05
C1;340;0.480439287;387.2004881;0.963607804;12.70684245;0.928540001;161.4638452;2.05
C1;350;0.541576441;454.658209;0.993238529;12.60967389;0.986522776;159.0038757;2.05
C1;360;0.687768452;571.1641158;1.040175631;27.21231648;1.081965344;740.510168;2.05
C1;370;0.282997938;220.6824963;0.967135615;10.67658415;0.935351297;113.9894491;2.05
C1;380;0.292307109;233.176036;0.953090142;10.03877765;0.90838082;100.7770568;2.05
C1;390;0.262593816;219.0225917;0.942084247;9.946253307;0.887522728;98.92795484;2.05
C1;400;0.197761875;174.2892031;0.955782674;9.631547117;0.913520519;92.76669986;2.05
C1;410;0.158521813;111.7185753;0.910357244;10.03973348;0.828750311;100.7962483;2.05
C1;420;0.138140474;105.9820278;0.903970179;7.227560568;0.817162085;52.23763176;2.05
C1;430;0.215360108;176.1356729;0.940666813;8.054563182;0.884854053;64.87598805;2.05
C1;440;0.123645949;106.043581;0.949929107;6.97023636;0.902365308;48.58419491;2.05
C1;450;0.09221608;68.38650198;0.921037095;6.783061147;0.848309331;46.00991853;2.05
C1;460;0.023542838;23.90663047;0.914472591;6.452374895;0.836260119;41.63314179;2.05
C1;470;0.029871488;38.83473462;0.92322193;6.565422603;0.852338732;43.10477395;2.05
C1;480;0.046031478;29.03096952;0.891355339;6.613913251;0.794514341;43.74384849;2.05
C1;490;0.028895909;27.98845663;0.891306428;6.58039897;0.794427148;43.30165061;2.05
C1;500;0.015628194;20.81522684;0.903608932;6.255878626;0.816509102;39.13601739;2.05
C1;510;0.008766127;9.219274956;0.89995554;6.343910981;0.809919974;40.24520653;2.05
C1;520;0.009996453;11.56047812;0.8994389;6.244564415;0.808990335;38.99458473;2.05
C1;530;0.017119997;19.52517443;0.885125721;6.171105882;0.783447542;38.0825478;2.05
C1;540;0.012973311;10.16030068;0.861229925;6.474485149;0.741716984;41.91895795;2.05
C1;550;0.04758129;7.92674461;0.874369356;6.401862753;0.76452177;40.9838467;2.05
C1;560;0.01418349;7.409595488;0.860263683;6.450438344;0.740053604;41.60815483;2.05
C1;570;0.015453828;8.252545766;0.884522312;6.396246909;0.782379721;40.91197452;2.05
C1;580;0.017993217;8.581666501;0.863390431;6.56140793;0.745443036;43.05207402;2.05
C1;590;0.038715891;7.569283425;0.856758861;6.397190125;0.734035746;40.92404149;2.05
C1;600;0.019217113;9.024837001;0.861860478;6.403576066;0.742803483;41.00578644;2.05
D1;100;137.0944763;-0.002350575;55.28608882;0.759776829;3056.551617;0.57726083;3
D1;110;73.56817627;-0.010479391;43.57160545;0.7251137;1898.484802;0.525789879;3
D1;120;100.1964519;-0.012231755;28.91096779;0.785257182;835.8440584;0.616628841;3
D1;130;36.59779923;0.013882291;3.798443966;0.744381414;14.42817656;0.55410369;3
D1;140;55.86416725;-0.040182763;9.252790695;0.768482914;85.61413564;0.590565989;3
D1;150;58.94740486;-0.009971485;9.461339248;0.818544712;89.51694037;0.670015445;3
D1;160;23.73447542;-0.022783971;3.559411604;0.784322562;12.66941097;0.615161881;3
D1;170;5.79014039;0.210417323;2.988714163;0.797348825;8.93241235;0.635765148;3
D1;180;15.37297625;0.017061625;2.634557863;0.791674016;6.940895136;0.626747747;3
D1;190;9.414319173;-0.037959326;2.357942717;0.798656241;5.559893858;0.637851791;3
D1;200;2.523975155;2.010570116;1.544521294;5.096608561;2.385546028;25.97541882;3
D1;210;2.847004169;0.06703219;1.054131104;0.799234885;1.111192384;0.638776401;3
D1;220;4.45961448;0.262476142;1.020955806;0.790537614;1.042350757;0.624949719;3
D1;230;1.170848295;978.5970101;0.921875115;69.09608715;0.849853728;4774.269259;3
D1;240;4.470577022;0.207661585;1.356696131;0.791687383;1.840624392;0.626768912;3
D1;250;1.482839543;199.1660821;0.985093982;49.0167743;0.970410152;2402.644163;3
D1;260;2.68288563;0.072200433;1.093739982;0.78814129;1.196267147;0.621166693;3
D1;270;2.220627899;-0.003752678;1.034878149;0.784711595;1.070972782;0.615772287;3
D1;280;1.502664511;0.055882946;1.009702944;0.78323641;1.019500035;0.613459274;3
D1;290;0.502723029;410.0872006;1.034149718;14.23902242;1.069465639;202.7497593;3
D1;300;1.520704463;0.031279939;1.005668026;0.798747213;1.011368179;0.637997111;3
D1;310;0.802279762;651.2597471;1.021000337;19.28761072;1.042441689;372.0119271;3
D1;320;0.77158163;627.7941618;0.988716369;18.69918981;0.977560058;349.6596996;3
D1;330;0.55152429;454.4417073;0.998905687;15.08234625;0.997812571;227.4771685;3
D1;340;0.330568594;270.6734672;0.972014833;20.58370948;0.944812837;423.6890959;3
D1;350;0.361304131;312.2784536;1.018999729;11.49484358;1.038360448;132.131429;3
D1;360;0.35215992;289.3837643;1.050751846;16.15149446;1.104079442;260.8707732;3
D1;370;0.122627292;113.9838873;1.019417585;11.39337096;1.039212212;129.8089018;3
D1;380;0.257571905;211.2395223;1.017828982;9.804307582;1.035975837;96.12444716;3
D1;390;0.213717177;161.3613647;1.02228805;9.272036743;1.045072858;85.97066536;3
D1;400;0.105224529;102.0146329;0.982120399;8.350293983;0.964560478;69.7274096;3
D1;410;0.087297899;64.01213187;0.96719262;8.2558741;0.935461565;68.15945715;3
D1;420;0.093111248;61.25672015;0.964531186;8.600110633;0.930320409;73.9619029;3
D1;430;0.106406327;78.10609688;0.980670508;8.515291787;0.961714645;72.51019422;3
D1;440;0.081885462;58.92664562;0.951481627;8.484776568;0.905317287;71.9914334;3
D1;450;0.062900594;27.32026318;0.971848483;8.748648869;0.944489475;76.53885703;3
D1;460;0.037240436;13.90178179;0.95740907;8.75879858;0.916632127;76.71655256;3
D1;470;0.004829322;29.62154312;0.953825315;8.70848696;0.909782732;75.83774513;3
D1;480;0.015781567;11.63463597;0.943767874;8.710239546;0.890697799;75.86827295;3
D1;490;0.041906394;17.09877256;0.943788728;8.243554053;0.890737163;67.95618343;3
