Frequency (GHz);LG (mV) mean;HG (mV) mean;LG (mV) std deviation;HG (mV) std deviation;LG (mV) variance;HG (mV) variance
100.0;66.31771353603871;4.6686301777978985;51.33624486280486;15.122973246190217;2635.4100366138587;228.70431980498503
110.0;47.76505331446683;-0.009683116177789325;30.446842077599978;0.7175690809844641;927.0101924983124;0.5149053859848884
120.0;106.25031663576597;-0.006072203351865207;45.27376331897638;0.7312806646780007;2049.713645062691;0.5347714105318985
130.0;41.25340117327232;-0.0066982474973849414;11.95637544661937;0.7453477461169112;142.95491382052256;0.5555432626415596
140.0;74.1827246963199;-0.007929585378601637;14.436474588304485;0.7463326402831999;208.41179853876113;0.5570124099520923
150.0;59.14006957837838;-0.01330910366145482;12.372215967939368;0.744975495160457;153.07172795733388;0.554988488389568
160.0;28.289232833052175;-0.01398749155739238;6.704954656908201;0.7440739145137378;44.95641695119496;0.5536459902597972
170.0;14.231210285859634;0.019706294964663366;5.44157040186854;0.7512029815729433;29.610688438491746;0.5643059195240797
180.0;16.915292260770578;-0.0074618893384021286;4.535114200399415;0.7476089264857616;20.567260810664425;0.5589191069611928
190.0;12.153845347328689;-0.01142876941747406;3.3500320571192286;0.7505301990108431;11.22271478372649;0.5632955796272556
200.0;4.150113966046101;26.077184399210708;3.356457080675361;102.80423312987442;11.265804134415765;10568.71034942157
210.0;6.903724383356283;3.1946509585595595;7.151962627993326;18.756435052702614;51.150569432213196;351.8038558862513
220.0;5.253920793149149;3.447486309673372;2.0397082427737616;29.61263139671941;4.160409715639226;876.9079382379723
230.0;1.3674743307561312;581.3441211396809;1.1888886924065665;381.81455173040564;1.4134563229321955;145782.3519130906
240.0;5.4786375927325395;2.8999264920299597;2.0007542058963876;20.91087093382244;4.003017392412084;437.2645232109802
250.0;1.4101939522596945;352.77839835397015;1.1355739528011926;333.3007500270988;1.2895282022805252;111089.38996862661
260.0;4.897384730313107;0.11014257076213792;1.8041877827799042;0.7664150380218758;3.255093555532267;0.5873920105060734
270.0;2.975961643240624;42.39761312332004;1.2645791166595264;169.6573017371215;1.5991603422913883;28783.60003272069
280.0;2.4799300472666137;17.438886571213647;1.2232366053479125;68.72397822447998;1.4963077926630846;4722.985182998797
290.0;1.0589748882349537;482.6220429748172;1.054310589205863;293.3466444086184;1.111570818511614;86052.2537857964
300.0;2.489223420889249;44.320027124447655;1.2294585677364034;175.89939968832695;1.5115683697804485;30940.598810713796
310.0;1.231241741775139;249.8285649458191;1.0391848098049097;274.7266606958507;1.0799050689292664;75474.73809709308
320.0;1.248624565173938;249.75810025562558;1.040180277439439;267.77277279953086;1.0819750095739886;71702.25785274919
330.0;1.1010843695706416;220.22926502257138;1.052443984090295;262.90342808689206;1.107638339647853;69118.21249983963
340.0;0.5827482267862308;466.4940758981583;1.003039498904257;184.16274870046095;1.0060882363621029;33915.91800890913
350.0;0.5771681200991308;475.67328875894987;1.0502800500308354;183.0354612612336;1.1030881834927742;33501.98007911254
360.0;0.5599131191964026;396.5885143898153;1.0839546466136383;185.83914368508073;1.1749576759152975;34536.18732560408
370.0;0.36827355020491803;307.94300103589933;0.9812645680916741;114.28241826132175;0.9628801525921397;13060.471123655689
380.0;0.3359423492300822;276.1370309908154;1.0051784646616677;119.12694917375151;1.0103837458195875;14191.230019445575
390.0;0.576296433315209;433.07407563387443;0.9724318714687638;170.2022559764239;0.9456237446482423;28968.80793946413
400.0;0.2863401992415741;242.3222461222188;0.9715825225800845;110.10918093021047;0.9439725981830804;12124.031725121824
410.0;0.26516636937597715;219.63641974506362;0.942011100681341;122.21771613227291;0.8873849138068715;14937.170136588842
420.0;0.17479719463281193;144.02549983497727;0.9454531643798493;66.31299631933194;0.8938816860358704;4397.413480847732
430.0;0.2159963526284702;178.92166515981492;0.9546268570561699;75.18366207516848;0.9113124362129411;5652.583043033127
440.0;0.1467260187212999;128.70986753161426;0.9348737400693369;63.05234291723465;0.87398890987123;3975.59794735255
450.0;0.15139093366122844;126.88414901703453;0.9355747613481369;76.72092297445876;0.8753001340716232;5886.100022052834
460.0;0.08703535804248265;67.95187348104865;0.9034722381094784;48.331574220632106;0.81626208503455;2335.94106664447
470.0;0.08147310815314344;78.03864926939289;0.9383972192905174;43.139662210428185;0.8805893411721755;1861.0304556298454
480.0;0.05886876853296354;49.610678777277016;0.8988036770120562;32.083169457262485;0.8078480498103926;1029.3297624234203
490.0;0.06679688501973659;53.809305179094856;0.9136689714131062;26.517224587085163;0.8347909893230835;703.163199801914
500.0;0.05941938553887065;49.1239934507078;0.8991766423746544;33.98783180936492;0.8085186341921573;1155.172711101678
510.0;0.03459069120130437;34.31652580944894;0.9027740663153317;26.119518864844828;0.8150010148115191;682.2292657309849
520.0;0.03717891611130597;30.715557792957636;0.8937925451478838;18.57028805217854;0.7988651137619318;344.8555983408851
530.0;0.03980233518900611;29.6938976970452;0.8909604652167161;14.955045421144233;0.7938105505791871;223.65338354848706
540.0;0.03190262941755214;24.944031892561984;0.8828683001627147;19.514865388051195;0.7794564354322012;380.82997111375846
550.0;0.029417804448636328;25.353005397498432;0.8834925785322058;20.44200277750479;0.7805591363214858;417.8754775555135
560.0;0.02575155731045143;23.550001129295115;0.8801986497626916;18.660629882337957;0.7747496630440653;348.2191076056044
570.0;0.02502382887774717;18.23697992015616;0.8810057100345148;13.73271389134523;0.7761710611134196;188.5874308215462
580.0;0.03331450812531079;21.676586050661363;0.8741386768315743;14.894978031004008;0.7641184263328554;221.86037054409206
590.0;0.03463563027142772;23.96066766040803;0.8658745626326372;19.397268449676705;0.7497387582142607;376.2540233088233
600.0;0.05001164341048691;15.850883401324433;1.7878455134171192;12.038517139150997;3.1963915798457228;144.92589490963232
