Sample;Frequency (GHz);HG (mV) mean;HG (mV) std;LG (mV) mean;LG (mV) std;Thickness (mm);HG (mV) mean Transmittance;LG (mV) mean Transmittance
A1;100.0;0.0142478657916431;0.7322649411197221;49.62510198289738;28.91966802048652;0.2;-1.711422784014217;1.259325513258224
A1;110.0;0.0009820253755648;0.7368776588851512;34.41997518088188;25.87466289100604;0.2;-0.06071107695060292;0.9122233174147205
A1;120.0;-0.0146071238286686;0.7552966435596136;118.78673986158356;31.503140306830957;0.2;-6.453642361876495;1.3428126828694311
A1;130.0;0.0005001486506733;0.786761789488328;37.4829482602459;8.92094157384089;0.2;-0.014668503612724315;1.1732013671489314
A1;140.0;-0.0231556019652261;0.7766159766649504;94.8174621397724;14.031558849460437;0.2;-1.6588294881748509;1.23534480315376
A1;150.0;-0.0356314726892965;0.7657816966093837;63.75367935116279;6.446833351067839;0.2;1.8628981371062956;0.8979240175303255
A1;160.0;-0.0206074548596303;0.7597934674113841;27.88183247235157;2.461258758552148;0.2;0.5162215680337819;0.9313923539058189
A1;170.0;0.0885783963116584;0.7716907423033259;9.103422085547445;4.388736853683645;0.2;-7.721087345558781;0.7772118788077851
A1;180.0;-0.0031830040857762;0.7638709603651703;13.281612495313416;3.322496045835388;0.2;-0.9995124560379528;0.7779176029407233
A1;190.0;-0.0211421938580628;0.7804017933564935;11.787010255356618;2.669005998890598;0.2;1.5327331894461154;0.9127830002938871
A1;200.0;0.0840142924832467;0.7721476552396322;3.0460403118436403;2.5909438001352645;0.2;4.053429717507257;0.42764394030883796
A1;210.0;0.1780678350694132;0.7794713273113536;5.580937873164672;1.047787826031003;0.2;1.9939226439298448;0.9325867046652501
A1;220.0;0.2662307472811517;4.940438513365046;5.644599797074954;1.134083770209742;0.2;4.18125571250011;0.9423534511796714
A1;230.0;923.0093060265;127.25385868176755;1.1581000207117853;0.9816040256082432;0.2;80621.3996236339;0.5443573245307914
A1;240.0;0.1292314607468375;0.964821078171974;5.699537893127547;1.477453777890973;0.2;16.726979325830168;0.8779832533611592
A1;250.0;0.090984853075596;0.956454811750068;1.911695733896823;0.973020603307972;0.2;0.9492089944458392;0.7556850723445727
A1;260.0;0.1322974350499681;0.7751190716420671;4.941924635021707;1.1116792949055798;0.2;-10.592403311007171;0.7724675911603937
A1;270.0;0.2154576743485814;0.7749425397924817;3.138435457009033;1.0153431088448552;0.2;0.9827265931025149;0.8682770060210866
A1;280.0;2.359364067732886;33.993242386416426;3.354527085063437;1.0506774578494793;0.2;13.024209506755028;0.9790363131804687
A1;290.0;698.8162554916282;73.11825143344403;0.8538563550808314;1.001113249320127;0.2;1.0757080732651356;0.8784570305848584
A1;300.0;0.6446102214962053;10.315879777584977;2.94380962254902;0.958408656228228;0.2;3.673604650043458;1.1511457443537427
A1;310.0;279.4180196508595;50.46859642436117;1.188829168938945;0.9784510696874056;0.2;-11746.4074994708;0.8034178034101319
A1;320.0;4.039987993903106;44.58980131781883;1.4205668351680187;0.99411995874641;0.2;0.8248181097822334;0.8527412071570483
A1;330.0;4.437502581894321;30.89919247854546;1.298088974485358;0.9163365156389338;0.2;1.6778552377768123;0.8584187225492271
A1;340.0;740.9622935990716;29.10874006170985;0.8754575735422107;0.9870784346986972;0.2;1.5848518171245416;0.936581909571426
A1;350.0;484.0807641385648;45.74095390433748;0.5828607249124854;1.068468595482789;0.2;0.7143302828014318;0.7189543259250148
A1;360.0;675.417589240256;30.03962861624088;0.8099242312390925;1.0298051826585914;0.2;95.2538178547004;0.7264701710357995
A1;370.0;285.14364142148514;25.618366088035643;0.3091009785735251;0.943899307229782;0.2;0.7013569837017283;0.6418270834831251
A1;380.0;307.2111542227392;13.04214708299662;0.3682436405931957;1.0292709148082002;0.2;0.6492167164588485;0.6346801875038763
A1;390.0;455.7474466209208;20.997615554421504;0.5546481861888112;0.998254944084388;0.2;0.6799583530125528;0.7343748719090566
A1;400.0;235.7150872025537;15.066362353678349;0.2696786416134649;0.9508773607358338;0.2;0.7026578546309996;0.6494783048410461
A1;410.0;257.39029506653105;18.242870802644305;0.2999635720511331;0.9046307282637932;0.2;1.0878055717257755;1.0965027110545382
A1;420.0;122.83563051843184;11.070778173344095;0.1577320906963136;0.9626932935633172;0.2;0.8155391826660628;0.8687042191579518
A1;430.0;186.83516017411628;13.553757832847715;0.2207734312007011;0.9243851064150416;0.2;0.9017577061179233;0.8983634248180816
A1;440.0;183.53518583278293;12.3294418258994;0.2050269189432602;0.922328891702428;0.2;0.8044711781586481;0.8031667642849508
A1;450.0;133.25713445909955;14.043510639522998;0.1712444429296132;0.9515944839662872;0.2;0.8642161981498375;1.0223839560034715
A1;460.0;50.297138940860215;10.41610762428747;0.0524711597090449;0.9344850652183786;0.2;1.6552317622918762;3.4266799917616857
A1;470.0;100.11724612247474;11.363932916341206;0.1006201025883838;0.9245425778595568;0.2;0.8772570940441375;0.8508124105895214
A1;480.0;29.551434156998734;10.075570703680231;0.0384883924968474;0.9041710783514938;0.2;0.9497078080549821;1.11961221866214
A1;490.0;69.13648850591017;10.988355791949344;0.0919607585697399;0.9444954406838932;0.2;0.8929361839790546;0.8260624827380167
A1;500.0;38.43658568573131;9.16514926355518;0.0616790309800417;0.916715614339756;0.2;0.9423784061358952;1.8506970543626025
A1;510.0;15.228781793604652;8.891427883054392;0.0119955837209302;0.9104628003627712;0.2;0.7461226297933263;0.269287440228179
A1;520.0;22.19977685112693;8.96903356459973;0.0388485800711743;0.890867164974916;0.2;0.6333201471316028;0.8507211854755963
