Frequency (GHz);LG (mV);HG (mV)
100.0;61.408864;0.610375
100.0;88.878037;-1.098728
100.0;75.814922;2.075434
100.0;41.875228;1.22087
100.0;55.548772;0.244188
100.0;41.508974;2.384186e-05
100.0;109.754609;0.366282
100.0;81.91918;2.384186e-05
100.0;74.838236;0.244188
100.0;35.648882;-0.488377
100.0;108.655842;-0.73247
100.0;51.764131;0.610375
100.0;73.006962;-0.610447
100.0;77.524111;0.488353
100.0;49.688685;-0.366282
100.0;124.404837;-0.366282
100.0;87.04676;0.12207
100.0;143.694298;0.122094
100.0;57.013796;-0.854635
100.0;136.61336;1.465034
100.0;74.471982;-0.732541
100.0;113.417168;-0.122118
100.0;97.424005;0.121999
100.0;114.882188;-0.488305
100.0;87.535101;0.366235
100.0;22.70785;-1.098776
100.0;131.607865;-0.122046
100.0;40.654376;0.732493
100.0;74.105726;0.488329
100.0;53.351238;-0.244188
100.0;70.44317;0.366235
100.0;56.525457;0.366235
100.0;34.305948;0.610399
100.0;66.780613;-0.854611
100.0;130.997437;-0.12207
100.0;19.655721;0.488353
100.0;33.207178;0.244164
100.0;68.367721;-2.075386
100.0;89.732637;1.220798
100.0;68.245636;0.854564
100.0;64.094742;0.366259
100.0;37.235992;0.854564
100.0;71.786107;-0.610423
100.0;49.200341;0.488305
100.0;41.631059;0.854516
100.0;103.039922;0.732493
100.0;97.424002;0.976682
100.0;84.360886;0.244117
100.0;139.299233;0.244212
100.0;33.573434;-0.854611
100.0;73.373215;-0.244141
100.0;110.487123;0.366211
100.0;55.792943;-0.854588
100.0;65.437675;-2.384186e-05
100.0;64.460997;0.854635
100.0;71.786107;0.488329
100.0;68.978146;-0.122094
100.0;65.437678;1.465011
100.0;87.413013;2.384186e-05
100.0;82.285437;-1.220822
100.0;52.984983;0.73247
100.0;99.255283;0.610423
100.0;115.248446;-0.73247
100.0;115.736786;0.610423
100.0;64.58308;-0.610399
100.0;84.72714;0.488305
100.0;81.552926;-0.12207
100.0;88.511781;-0.366282
100.0;94.616044;0.610423
100.0;85.215479;-0.122094
100.0;47.00281;-0.854588
100.0;78.622881;-0.610495
100.0;43.096082;1.098752
100.0;48.345745;0.366306
100.0;91.563913;1.95334
100.0;75.32658;0.854564
100.0;92.41851;0.488329
100.0;128.311566;-0.488377
100.0;64.338908;-1.22087
100.0;64.705165;0.366211
100.0;110.853377;0.976658
100.0;20.266147;0.244212
100.0;54.694179;-0.122094
100.0;111.463805;-0.244164
100.0;102.063239;0.244141
100.0;36.137223;-1.831245
100.0;15.260652;-1.220846
100.0;76.54743;0.12207
100.0;100.964473;-0.366235
100.0;90.34306;0.0
100.0;74.47198;-0.366235
100.0;107.190819;-0.488305
100.0;103.650348;0.73247
100.0;87.413016;-2.384186e-05
100.0;124.03858;0.366259
100.0;97.546089;-0.122094
100.0;92.540595;-0.122142
100.0;82.407521;-0.122118
100.0;62.507631;0.122142
100.0;98.278601;-0.732541
100.0;69.832742;0.610447
100.0;103.162007;0.976682
100.0;84.605055;-0.122166
100.0;93.273106;0.488353
100.0;79.233304;-0.732517
100.0;114.393847;1.098728
100.0;33.20718;2.384186e-05
100.0;27.83543;-4.768372e-05
100.0;75.448667;0.73247
100.0;62.263459;0.85454
100.0;44.439019;-2.384186e-05
100.0;83.017947;0.488305
100.0;85.459653;-2.384186e-05
100.0;120.986451;-1.220798
100.0;75.082406;-0.244188
100.0;76.54743;-0.244188
100.0;104.016605;0.244141
100.0;109.388354;-0.610375
100.0;46.148211;-1.34294
100.0;104.993285;-0.12207
100.0;36.137225;0.488353
100.0;95.104387;1.342964
100.0;51.642047;0.488281
100.0;71.297765;0.854588
100.0;83.994628;1.95334
100.0;39.311439;-0.610495
100.0;37.480161;-1.465034
100.0;87.046759;-1.587081
100.0;86.558419;0.488353
100.0;65.315592;-1.587105
100.0;39.189355;0.366259
100.0;102.917835;0.610375
100.0;97.179832;-0.366259
100.0;129.776587;-0.610399
100.0;80.576241;0.244212
100.0;68.245636;0.488377
100.0;69.222318;-1.34294
100.0;86.070079;-0.122046
100.0;20.632401;1.465011
100.0;46.636553;-0.122046
100.0;66.902699;-0.12207
100.0;78.378707;-2.384186e-05
100.0;26.004151;-0.610471
100.0;119.521429;0.12207
100.0;89.610551;0.366259
100.0;61.286777;0.610352
100.0;72.274449;0.122094
100.0;31.131729;0.610423
100.0;69.466488;-0.976682
100.0;53.839582;0.244212
100.0;96.44732;0.488353
100.0;63.362226;0.488257
100.0;65.803933;1.831293
100.0;49.810769;0.610399
100.0;77.279942;-0.488281
100.0;70.809424;0.73247
100.0;71.053594;-0.244212
100.0;67.391041;1.220822
100.0;92.052254;-0.122094
100.0;82.773776;0.244141
100.0;69.588573;0.854564
100.0;117.20181;0.12207
100.0;110.487118;-0.122046
100.0;96.569405;0.12207
100.0;69.710657;2.384186e-05
100.0;39.189354;-0.244188
100.0;110.487121;0.610352
100.0;102.551584;-0.244141
100.0;94.493958;4.768372e-05
100.0;148.943965;0.732493
100.0;116.835552;0.366211
100.0;82.041265;1.220822
100.0;61.653034;0.122118
100.0;128.311564;0.732517
100.0;79.233308;0.732541
100.0;54.450007;-0.488257
100.0;84.605058;-0.732493
100.0;73.251128;0.122118
100.0;56.40337;-0.732541
100.0;82.285434;0.244164
