Frequency (GHz);LG (mV);HG (mV)
100.0;0.366256;37.480161
100.0;-0.732511;33.817604
100.0;0.24417;35.893053
100.0;-0.488341;16.359419
100.0;-0.610426;35.160542
100.0;-1.465023;34.305945
100.0;-0.488341;35.526797
100.0;0.610426;40.410206
100.0;-0.488341;33.573434
100.0;-1.342937;37.968501
100.0;-0.488341;24.539128
100.0;1.220852;36.625564
100.0;0.854596;13.185203
100.0;0.366256;46.026126
100.0;-0.854596;46.514466
100.0;0.0;38.334757
100.0;0.610426;31.864241
100.0;-0.366256;19.777805
100.0;-0.610426;46.392381
100.0;-1.831278;33.085093
100.0;0.854596;42.485654
100.0;0.976682;27.102917
100.0;1.465023;42.85191
100.0;-0.366256;21.609083
100.0;-1.220852;44.072762
100.0;-0.854596;39.555609
100.0;0.122085;32.108411
100.0;0.610426;36.625564
100.0;0.976682;30.887559
100.0;0.488341;35.160542
100.0;0.610426;29.422536
100.0;-0.732511;40.410206
100.0;0.0;53.107068
100.0;0.0;33.451349
100.0;0.976682;36.381394
100.0;-0.610426;30.765474
100.0;-1.953363;26.736662
100.0;-0.122085;43.584421
100.0;0.0;44.683188
100.0;1.709193;37.602246
100.0;0.732511;42.119399
100.0;-0.976682;12.330607
100.0;-1.587108;28.81211
100.0;-0.24417;16.481504
100.0;-0.610426;41.020632
100.0;-0.366256;28.32377
100.0;0.122085;33.451349
100.0;0.854596;25.393724
100.0;-1.587108;11.964351
100.0;-0.24417;45.171529
100.0;0.854596;19.777805
100.0;-0.24417;34.305945
100.0;-1.709193;33.451349
100.0;0.0;35.770968
100.0;-0.366256;37.358075
100.0;0.366256;17.3361
100.0;-0.976682;35.648882
100.0;0.24417;26.126236
100.0;1.220852;38.090587
100.0;0.610426;42.119399
100.0;0.24417;42.363569
100.0;-0.122085;31.62007
100.0;-1.098767;14.52814
100.0;-0.732511;26.736662
100.0;1.220852;20.388231
100.0;-0.610426;35.038456
100.0;-0.24417;44.683188
100.0;0.0;34.42803
100.0;0.366256;28.690025
100.0;-0.366256;27.102917
100.0;0.0;36.869735
100.0;0.24417;19.167379
100.0;0.610426;44.561103
100.0;0.976682;50.054938
100.0;0.24417;47.246978
100.0;-0.732511;46.270296
100.0;0.122085;39.555609
100.0;-1.098767;38.701013
100.0;-1.220852;22.341594
100.0;0.122085;34.305945
100.0;0.488341;23.562446
100.0;0.122085;39.433524
100.0;-0.610426;40.288121
100.0;-1.953363;37.358075
100.0;-0.24417;45.781955
100.0;-1.342937;38.334757
100.0;0.488341;35.526797
100.0;-0.366256;27.835429
100.0;0.976682;43.218166
100.0;0.122085;47.613233
100.0;0.0;35.404712
100.0;0.122085;36.747649
100.0;-1.465023;13.063118
100.0;-0.488341;32.718837
100.0;-0.122085;21.486998
100.0;0.732511;54.450005
100.0;-0.24417;52.252471
100.0;1.465023;35.893053
100.0;0.488341;38.945183
100.0;0.976682;27.957514
100.0;-2.075449;33.573434
100.0;-0.976682;21.975338
100.0;0.366256;34.18386
100.0;0.24417;46.148211
100.0;-0.976682;33.451349
100.0;0.0;41.386887
100.0;-1.465023;20.632401
100.0;0.122085;41.753143
100.0;0.366256;24.172872
100.0;0.488341;44.194847
100.0;-0.488341;45.293614
100.0;0.488341;37.358075
100.0;-1.465023;32.596752
100.0;1.098767;29.300451
100.0;0.24417;36.259308
100.0;-1.342937;23.684531
100.0;-0.366256;35.526797
100.0;-0.366256;49.444512
100.0;1.465023;25.75998
100.0;1.098767;31.742156
100.0;-1.709193;7.569283
100.0;1.342937;37.113905
100.0;1.098767;26.858747
100.0;-0.122085;41.264802
