Frequency (GHz);LG (mV);HG (mV)
100.0;27.469173;0.976682
100.0;70.931511;-0.366259
100.0;1.342937;-0.488353
100.0;31.253815;-0.122094
100.0;48.46783;0.488353
100.0;34.672201;0.4884
100.0;25.271639;-0.244164
100.0;38.090587;-0.122118
100.0;47.735319;1.709151
100.0;31.009644;0.366282
100.0;59.455501;-1.220846
100.0;41.997313;0.488329
100.0;67.391039;-2.384186e-05
100.0;65.55976;0.732541
100.0;72.152363;0.366259
100.0;38.701013;0.488329
100.0;31.497985;0.488305
100.0;19.533634;0.366235
100.0;41.875228;0.610423
100.0;30.155048;0.610447
100.0;32.963008;0.73247
100.0;22.219509;-0.610471
100.0;46.880722;-0.366211
100.0;24.294958;0.732493
100.0;23.196191;0.366282
100.0;79.11122;0.732517
100.0;40.166035;0.854588
100.0;35.038456;-0.976682
100.0;40.654376;1.220822
100.0;40.410206;-1.098728
100.0;38.212672;0.610399
100.0;22.219509;-0.732517
100.0;29.666707;0.732493
100.0;43.828592;-0.610447
100.0;41.753143;0.366259
100.0;60.188012;0.366282
100.0;43.828592;-0.122118
100.0;33.939689;0.610423
100.0;7.813454;0.610399
100.0;34.42803;0.732493
100.0;0.732511;0.976682
100.0;45.781955;0.366282
100.0;41.386887;0.244141
100.0;44.439018;-0.976658
100.0;44.439018;-0.122094
100.0;47.735319;4.768372e-05
100.0;37.846416;-0.97661
100.0;64.338909;-0.610423
100.0;65.437676;-0.244236
100.0;36.259308;1.098776
100.0;46.148211;-0.122046
100.0;71.297766;0.366282
100.0;43.706506;4.768372e-05
100.0;30.643389;-0.244141
100.0;41.142717;0.732517
100.0;35.160542;2.384186e-05
100.0;35.648882;0.0
100.0;30.521303;-2.384186e-05
100.0;37.358075;-0.366259
100.0;41.508973;0.366211
100.0;53.473324;0.610352
100.0;39.433524;-0.488257
100.0;61.775118;-0.854588
100.0;44.683188;0.122118
100.0;67.146869;-0.244141
100.0;44.561103;-0.610471
100.0;40.654376;-0.24426
100.0;31.497985;0.854611
100.0;58.96716;-2.07541
100.0;53.59541;-0.244188
100.0;50.787449;-0.244164
100.0;33.451349;-1.220894
100.0;40.410206;-0.244164
100.0;45.65987;0.0
100.0;46.148211;0.488305
100.0;12.941033;-1.831222
100.0;27.469173;-0.488305
100.0;38.212672;-0.12207
100.0;71.297766;-0.488377
100.0;28.934196;-0.732517
100.0;31.009644;0.610399
100.0;51.153705;-0.366235
100.0;46.392381;0.610447
100.0;57.38005;-0.854611
100.0;31.497985;0.244117
100.0;32.474667;-0.366235
100.0;36.99182;0.366282
100.0;36.625564;-0.610447
100.0;57.502137;-0.610399
100.0;51.153706;-1.465011
100.0;31.742156;-0.244164
100.0;43.706506;-0.366259
100.0;46.758638;-0.610375
100.0;38.090587;-0.976634
100.0;55.060431;-0.244117
100.0;35.526797;-0.244164
100.0;48.589915;-0.366306
100.0;45.415699;0.121999
100.0;40.776461;-0.122094
100.0;49.932852;0.610399
100.0;45.415699;0.854564
100.0;25.882065;-0.366235
100.0;86.924675;-1.464987
100.0;38.090587;-0.366259
100.0;34.550115;-0.122023
100.0;21.364912;-0.732493
100.0;36.869735;0.732517
100.0;59.333415;-0.610447
100.0;53.351238;-0.976634
100.0;68.733977;0.244117
100.0;19.89989;-0.610447
100.0;41.508973;-0.366306
100.0;33.817604;0.244188
100.0;5.86009;0.488353
100.0;50.909534;0.244212
100.0;37.968501;-2.384186e-05
100.0;43.706506;-0.854588
100.0;9.522647;0.732565
100.0;28.079599;-0.366235
100.0;39.433524;-0.976682
100.0;52.984983;0.610471
100.0;43.950677;2.384186e-05
100.0;60.310096;1.342964
100.0;46.392381;-0.976658
100.0;27.591258;-0.122094
100.0;50.909534;0.244188
100.0;51.764131;-0.610375
100.0;49.932852;-0.488329
100.0;34.794286;0.122094
100.0;52.740812;0.610423
100.0;36.869735;0.610423
100.0;40.898547;-0.854516
100.0;35.404712;0.122094
100.0;59.333414;0.976634
100.0;35.526797;0.610423
100.0;34.42803;-0.366235
100.0;36.015138;-0.610399
100.0;36.259308;-4.768372e-05
100.0;59.699669;0.244164
100.0;44.561103;0.610423
100.0;16.237333;-1.098752
100.0;51.51996;0.976658
100.0;22.95202;-0.610399
100.0;33.329263;0.854588
100.0;28.934196;-0.366282
100.0;60.798438;-7.152557e-05
100.0;41.753143;1.098704
100.0;24.539128;-0.854588
100.0;64.216824;-0.488353
100.0;75.814919;0.122094
100.0;44.805273;-1.831245
100.0;39.433524;0.244117
100.0;52.984984;0.366306
100.0;34.672201;-0.732446
100.0;29.666707;-0.610447
100.0;75.082408;2.384186e-05
100.0;21.731168;0.366211
100.0;51.642047;-0.244141
100.0;23.318276;-0.488377
100.0;26.248321;-0.122094
100.0;35.893053;-0.488329
100.0;37.724331;0.610447
100.0;38.823098;-0.244141
100.0;38.334757;-0.488353
100.0;43.096082;-0.976682
100.0;43.340251;0.732565
100.0;26.858747;0.244188
100.0;42.485654;1.098752
100.0;51.886217;-0.488377
100.0;31.864241;1.587129
100.0;42.729826;0.854635
100.0;40.898547;-1.465034
100.0;44.439018;-1.220846
100.0;51.153706;-0.366211
100.0;61.042608;1.342964
100.0;39.677694;-1.465011
100.0;58.845073;0.366282
100.0;32.840922;-0.488305
100.0;58.112563;1.709175
100.0;47.73532;-0.122094
100.0;46.392383;0.610471
100.0;62.26346;0.12207
100.0;43.09608;0.122046
