Frequency (GHz);LG (mV);HG (mV)
100.0;27.469173;0.610447
100.0;38.823098;-0.244212
100.0;38.090587;0.732493
100.0;30.643389;0.122094
100.0;42.973995;-0.244164
100.0;39.677694;-0.488305
100.0;44.683188;0.122094
100.0;36.137223;0.854611
100.0;28.445855;-1.22087
100.0;38.334757;-1.709175
100.0;40.654376;0.366235
100.0;39.677694;0.488305
100.0;41.020632;0.976682
100.0;38.334757;-0.488353
100.0;41.020632;-0.12207
100.0;38.212672;1.587105
100.0;62.263459;-0.732517
100.0;40.04395;0.0
100.0;35.282627;-0.244117
100.0;46.880722;0.488329
100.0;38.334757;0.732517
100.0;49.566597;0.854564
100.0;29.666707;0.366306
100.0;37.23599;-0.976682
100.0;33.085093;-0.488305
100.0;43.340251;0.122094
100.0;38.578928;-0.366259
100.0;37.358075;-0.122118
100.0;33.817604;-0.122046
100.0;44.927359;0.854611
100.0;47.613233;-0.488377
100.0;32.963008;0.244117
100.0;54.572091;0.85454
100.0;46.270296;0.488377
100.0;39.189354;0.12207
100.0;38.701013;-1.465011
100.0;34.794286;0.854635
100.0;59.94384;-0.732493
100.0;37.113905;0.366259
100.0;37.23599;1.22087
100.0;43.706506;0.244188
100.0;48.589915;0.366211
100.0;47.369063;0.122118
100.0;46.514466;-0.732493
100.0;39.677694;1.587105
100.0;35.770968;-0.488305
100.0;38.212672;1.098776
100.0;42.60774;-0.610495
100.0;42.973995;0.732493
100.0;48.712;0.244141
100.0;40.654376;1.098704
100.0;31.497985;-0.976682
100.0;41.508973;0.12207
100.0;39.433524;0.0
100.0;43.462336;0.366259
100.0;44.194847;1.098752
100.0;37.113905;0.854611
100.0;50.665364;-0.610423
100.0;33.451349;-0.610447
100.0;37.968501;0.244236
100.0;36.137223;-0.488353
100.0;42.729825;0.366282
100.0;38.945183;-0.12207
100.0;27.347088;0.976658
100.0;56.89171;0.854564
100.0;34.18386;-1.587057
100.0;46.148211;-0.732493
100.0;41.264802;0.854588
100.0;37.846416;0.122046
100.0;54.694176;-0.244117
100.0;46.636552;-0.610399
100.0;46.880722;0.244188
100.0;42.241484;0.244164
100.0;36.503479;1.220846
100.0;41.631058;-0.610375
100.0;44.072762;0.732517
100.0;32.352582;0.366259
100.0;47.735319;1.464987
100.0;50.665364;0.122046
100.0;49.200341;-0.244188
100.0;30.887559;0.488305
100.0;38.090587;0.244212
100.0;44.927359;-0.12207
100.0;39.433524;-0.366282
100.0;31.253815;-0.488448
100.0;48.46783;0.12207
100.0;31.3759;1.22087
100.0;37.358075;0.854588
100.0;41.508973;0.610447
100.0;34.672201;1.342916
100.0;35.404712;0.488353
100.0;42.60774;-0.610375
100.0;54.694176;1.220846
