Frequency (GHz);LG (mV);HG (mV)
100.0;-0.732511;41.875228
100.0;0.366256;18.801123
100.0;-0.366256;39.921865
100.0;0.488341;31.253815
100.0;-0.24417;36.869735
100.0;0.854596;52.984983
100.0;0.24417;32.963008
100.0;0.732511;36.747649
100.0;-0.122085;25.51581
100.0;0.854596;43.950677
100.0;1.098767;14.0398
100.0;-1.831278;35.770968
100.0;-0.732511;23.928702
100.0;1.953363;33.695519
100.0;0.976682;13.551459
100.0;0.732511;34.550115
100.0;-0.976682;18.801123
100.0;1.098767;38.823098
100.0;1.098767;27.347088
100.0;-0.122085;31.253815
100.0;0.122085;13.551459
100.0;-0.854596;36.137223
100.0;0.976682;17.946526
100.0;-0.122085;39.677694
100.0;-0.610426;26.126236
100.0;-1.831278;42.119399
100.0;0.366256;26.858747
100.0;0.854596;36.137223
100.0;-0.488341;45.049444
100.0;-0.732511;23.440361
100.0;-0.976682;34.18386
100.0;-0.854596;28.81211
100.0;-0.366256;32.108411
100.0;-0.122085;15.871078
100.0;-0.976682;33.817604
100.0;-0.488341;12.208521
100.0;-0.854596;39.189354
100.0;0.0;20.388231
100.0;0.24417;40.776461
100.0;1.220852;18.556952
100.0;-0.366256;40.654376
100.0;0.854596;31.986326
100.0;0.366256;35.893053
100.0;0.854596;37.968501
100.0;0.488341;33.817604
100.0;0.976682;41.020632
100.0;0.488341;36.99182
100.0;-0.24417;54.938346
100.0;1.220852;32.963008
100.0;-0.366256;44.439018
100.0;0.24417;39.067268
100.0;1.098767;48.956171
100.0;-0.976682;28.201684
100.0;-0.24417;43.462336
100.0;0.854596;21.975338
100.0;-0.610426;37.23599
100.0;0.366256;15.748993
100.0;-0.24417;32.963008
100.0;-1.098767;14.52814
100.0;0.732511;31.3759
100.0;0.122085;23.074105
100.0;0.732511;34.061775
100.0;0.122085;15.138566
100.0;1.709193;32.963008
100.0;-0.24417;11.47601
100.0;-0.24417;34.794286
100.0;0.976682;22.70785
100.0;-1.342937;36.015138
100.0;0.366256;17.214015
100.0;-1.342937;37.602246
100.0;-0.122085;23.928702
100.0;0.610426;44.683188
100.0;-0.122085;22.70785
100.0;-1.709193;38.090587
100.0;-0.122085;19.167379
100.0;-2.441704;47.491148
100.0;-1.220852;27.469173
100.0;-0.610426;43.584421
100.0;0.366256;25.271639
100.0;-0.854596;47.491148
100.0;-0.24417;10.499328
100.0;-0.976682;30.643389
100.0;-0.610426;22.95202
100.0;0.0;45.171529
100.0;-0.732511;39.433524
100.0;-1.587108;34.672201
100.0;-0.366256;45.293614
100.0;0.24417;17.824441
100.0;0.488341;38.945183
100.0;-0.732511;24.539128
100.0;-2.441704;43.706506
100.0;-0.610426;31.3759
100.0;0.854596;37.602246
100.0;1.953363;44.072762
100.0;0.488341;47.491148
100.0;-0.610426;34.672201
100.0;-1.098767;33.695519
100.0;0.366256;13.429374
100.0;1.953363;26.248321
100.0;-1.098767;55.304602
100.0;-0.610426;26.736662
100.0;-1.831278;52.496642
100.0;0.24417;34.672201
100.0;0.366256;30.765474
100.0;-0.854596;43.950677
100.0;2.075449;21.975338
100.0;0.24417;42.60774
100.0;0.24417;45.171529
100.0;2.197534;31.864241
100.0;0.610426;30.155048
100.0;0.0;25.637895
100.0;-1.220852;39.433524
100.0;-1.098767;21.731168
100.0;0.610426;42.60774
100.0;0.366256;31.497985
100.0;-0.488341;42.729825
100.0;0.0;42.241484
100.0;0.976682;34.794286
100.0;1.342937;35.648882
100.0;-0.610426;50.299108
100.0;0.122085;34.550115
100.0;0.610426;36.747649
100.0;0.366256;19.167379
100.0;0.732511;31.009644
100.0;0.732511;21.120742
100.0;0.366256;41.997313
100.0;1.098767;44.805273
100.0;0.0;37.480161
100.0;-1.342937;31.009644
100.0;-0.732511;27.835429
100.0;-1.587108;32.108411
100.0;1.098767;17.702356
100.0;-0.732511;32.596752
100.0;0.976682;14.0398
100.0;0.24417;37.968501
100.0;-0.610426;51.764131
100.0;0.366256;34.42803
100.0;0.24417;47.002807
100.0;0.488341;34.550115
100.0;-1.220852;35.770968
100.0;0.366256;24.417043
100.0;2.197534;35.160542
100.0;0.488341;17.946526
100.0;0.0;38.945183
100.0;0.854596;21.486998
100.0;-0.122085;44.927359
100.0;0.366256;39.311439
100.0;-0.366256;45.537785
100.0;-1.831278;48.345745
100.0;0.0;31.62007
100.0;-2.075449;35.648882
100.0;1.465023;31.131729
100.0;-0.732511;33.939689
100.0;-0.610426;19.777805
100.0;0.0;35.404712
100.0;0.610426;25.393724
100.0;1.342937;47.979489
100.0;0.976682;38.456842
100.0;-1.342937;30.032963
100.0;1.342937;34.550115
100.0;0.0;21.364912
100.0;0.488341;40.288121
100.0;0.610426;38.334757
100.0;-0.122085;39.555609
100.0;1.709193;35.526797
100.0;-0.24417;30.032963
100.0;1.220852;38.456842
100.0;-0.610426;8.912221
100.0;0.732511;37.480161
100.0;-1.465023;18.190697
100.0;-0.488341;37.724331
100.0;-2.197534;43.462336
100.0;0.366256;32.963008
100.0;1.220852;28.690025
100.0;-0.732511;31.62007
100.0;0.366256;46.270296
100.0;0.610426;22.829935
100.0;-0.366256;32.352582
100.0;-0.24417;12.696862
100.0;-1.220852;49.810767
100.0;0.854596;33.939689
100.0;0.0;34.18386
100.0;0.732511;44.439018
100.0;-0.24417;35.893053
100.0;0.488341;38.823098
100.0;-0.854596;20.876572
100.0;0.610426;35.038456
100.0;0.0;23.318276
100.0;-0.24417;45.415699
100.0;0.610426;26.004151
100.0;-0.24417;34.42803
100.0;1.098767;37.113905
100.0;-1.342937;27.225003
100.0;-0.24417;37.846416
100.0;0.0;16.481504
100.0;0.488341;37.968501
100.0;-0.854596;32.840922
100.0;-0.122085;37.846416
100.0;-0.488341;44.561103
100.0;0.854596;32.840922
100.0;-1.831278;38.456842
100.0;-0.488341;18.190697
100.0;0.0;38.334757
100.0;-0.488341;32.963008
100.0;-1.587108;42.119399
100.0;-0.732511;39.79978
100.0;0.24417;25.882065
100.0;0.976682;31.62007
100.0;-0.24417;28.56794
100.0;0.24417;44.927359
100.0;0.732511;17.824441
100.0;-0.976682;33.207178
100.0;0.122085;37.968501
100.0;-0.366256;22.95202
100.0;-0.610426;32.596752
100.0;1.098767;16.359419
100.0;2.075449;38.945183
100.0;0.24417;25.271639
100.0;1.831278;31.3759
100.0;0.24417;37.113905
100.0;0.122085;36.625564
100.0;-0.366256;41.142717
100.0;-0.366256;35.770968
100.0;0.122085;35.404712
100.0;-2.319619;23.806617
100.0;0.488341;34.061775
100.0;0.732511;34.305945
100.0;0.732511;40.776461
100.0;0.976682;45.781955
100.0;-1.709193;29.910877
100.0;-0.366256;29.056281
100.0;-0.122085;23.196191
100.0;0.610426;32.474667
100.0;-0.24417;29.300451
100.0;-0.610426;33.085093
100.0;-1.709193;32.108411
100.0;0.610426;36.503479
100.0;0.366256;42.973995
100.0;-0.854596;32.840922
100.0;-2.319619;40.654376
100.0;-1.465023;22.585765
100.0;0.0;29.910877
100.0;0.488341;19.533634
100.0;1.342937;35.770968
100.0;-0.24417;39.067268
100.0;1.953363;32.230496
100.0;0.488341;41.142717
100.0;-0.732511;25.75998
100.0;1.098767;30.887559
100.0;0.610426;14.894396
100.0;0.610426;45.65987
100.0;-0.976682;16.603589
100.0;-0.366256;46.148211
100.0;-0.366256;42.60774
100.0;0.122085;32.596752
100.0;0.732511;44.683188
100.0;-0.122085;26.126236
100.0;1.587108;36.503479
100.0;0.24417;17.946526
100.0;1.098767;36.381394
100.0;-0.488341;19.655719
100.0;-0.366256;38.334757
100.0;-0.732511;45.537785
100.0;-0.24417;40.654376
100.0;-0.24417;36.259308
100.0;-0.610426;16.969845
100.0;0.122085;26.980832
100.0;0.24417;16.115248
100.0;0.488341;38.090587
100.0;0.610426;46.758637
100.0;-0.488341;33.817604
100.0;-0.122085;38.090587
100.0;1.098767;20.266145
100.0;-0.610426;38.456842
100.0;0.366256;33.573434
100.0;1.342937;36.99182
100.0;0.122085;43.09608
100.0;0.610426;17.3361
100.0;0.854596;26.004151
100.0;-0.610426;19.777805
100.0;-1.342937;36.869735
100.0;1.465023;48.101574
100.0;0.732511;26.492491
100.0;0.732511;29.056281
100.0;0.854596;19.89989
100.0;-0.24417;37.113905
100.0;0.854596;7.447198
100.0;-0.854596;31.62007
100.0;-0.488341;21.486998
100.0;0.366256;42.241484
100.0;-1.709193;37.602246
100.0;-0.366256;34.18386
100.0;0.610426;30.643389
100.0;0.732511;28.079599
100.0;-0.24417;37.846416
100.0;0.732511;20.021975
100.0;-1.098767;32.718837
100.0;-1.465023;9.278476
100.0;-1.342937;42.729825
100.0;-0.122085;39.79978
100.0;-0.854596;37.23599
100.0;0.122085;39.555609
100.0;0.976682;19.533634
100.0;0.732511;37.113905
100.0;-0.732511;11.598095
100.0;0.0;44.561103
100.0;-0.122085;40.410206
100.0;-1.220852;32.230496
100.0;-0.610426;43.584421
100.0;0.24417;14.406055
100.0;-0.854596;33.939689
100.0;0.24417;12.941033
100.0;1.098767;43.706506
100.0;-0.488341;43.09608
100.0;0.488341;35.893053
100.0;-1.709193;41.264802
100.0;1.098767;16.969845
100.0;1.098767;34.672201
100.0;-0.122085;25.027469
100.0;-0.732511;48.589915
100.0;-0.732511;41.753143
100.0;-1.220852;45.415699
100.0;0.366256;31.986326
100.0;-0.366256;17.09193
100.0;-0.122085;37.23599
100.0;-1.220852;19.777805
100.0;-0.366256;37.724331
100.0;-0.122085;43.828592
100.0;-1.831278;37.480161
100.0;-0.24417;38.212672
100.0;-0.488341;20.632401
100.0;-0.488341;35.160542
100.0;0.122085;13.307288
100.0;0.610426;45.65987
100.0;-0.488341;44.316933
100.0;0.488341;27.102917
100.0;1.220852;36.503479
100.0;0.854596;21.609083
100.0;-0.488341;43.584421
100.0;-0.488341;23.196191
100.0;-0.122085;41.753143
100.0;-0.488341;46.758637
100.0;-0.122085;28.32377
100.0;-0.366256;32.108411
100.0;0.854596;21.975338
100.0;-0.610426;33.695519
100.0;-0.854596;17.458186
100.0;1.709193;44.439018
100.0;0.0;49.200341
100.0;0.366256;26.492491
100.0;0.732511;41.508973
100.0;-0.366256;37.724331
100.0;0.488341;44.194847
100.0;1.465023;27.957514
100.0;0.366256;39.677694
100.0;0.122085;16.847759
100.0;-0.122085;37.968501
100.0;0.854596;23.562446
100.0;-0.24417;40.288121
100.0;-0.488341;41.997313
100.0;0.488341;24.172872
100.0;1.465023;29.666707
100.0;0.976682;23.318276
100.0;0.24417;43.950677
100.0;1.709193;32.474667
100.0;0.732511;37.968501
100.0;1.098767;33.451349
100.0;0.0;31.131729
100.0;-1.709193;29.056281
100.0;-0.610426;14.894396
