Frequency (GHz);LG (mV);HG (mV)
100.0;0.24417;35.038456
100.0;-0.122085;50.177023
100.0;0.24417;48.101574
100.0;0.366256;45.049444
100.0;-1.831278;37.724331
100.0;0.488341;47.857404
100.0;-1.098767;42.363569
100.0;0.488341;41.997313
100.0;0.976682;49.444512
100.0;-0.488341;36.137223
100.0;0.976682;34.672201
100.0;0.488341;29.666707
100.0;-0.122085;32.963008
100.0;-1.342937;21.853253
100.0;0.488341;42.485654
100.0;0.366256;20.266145
100.0;-0.488341;44.439018
100.0;-0.122085;29.422536
100.0;-0.488341;42.729825
100.0;-0.854596;41.997313
100.0;1.831278;38.212672
100.0;1.342937;52.862898
100.0;-0.366256;42.119399
100.0;-1.220852;37.113905
100.0;-0.366256;39.921865
100.0;-1.953363;46.636552
100.0;-0.854596;24.539128
100.0;0.732511;37.480161
100.0;0.366256;19.89989
100.0;0.0;37.846416
100.0;1.587108;26.004151
100.0;0.366256;40.654376
100.0;1.098767;22.829935
100.0;0.610426;52.618727
100.0;-0.122085;34.672201
100.0;-0.122085;40.654376
100.0;0.976682;55.426687
100.0;0.122085;27.835429
100.0;-0.854596;52.740812
100.0;-0.122085;24.417043
100.0;-0.610426;39.067268
100.0;0.732511;23.318276
100.0;-0.488341;36.137223
100.0;1.220852;19.289464
100.0;0.976682;38.090587
100.0;0.366256;29.422536
100.0;0.732511;50.543278
100.0;-0.488341;27.225003
100.0;-0.976682;48.345745
100.0;-0.366256;37.358075
100.0;0.122085;47.246978
100.0;0.366256;50.054938
100.0;-0.122085;41.508973
100.0;-0.366256;47.002807
100.0;0.122085;27.713344
100.0;-0.122085;40.166035
100.0;0.976682;24.539128
100.0;-0.488341;34.18386
100.0;-0.976682;23.318276
100.0;1.465023;40.776461
100.0;1.465023;24.294958
100.0;-1.220852;36.503479
100.0;0.732511;26.980832
100.0;0.0;42.485654
100.0;0.24417;25.271639
100.0;2.075449;43.950677
100.0;0.122085;37.113905
100.0;0.488341;44.439018
100.0;-1.098767;55.182517
100.0;-0.366256;39.79978
100.0;-0.854596;52.130386
100.0;0.0;30.643389
100.0;0.24417;45.293614
100.0;0.488341;19.289464
100.0;0.122085;31.131729
100.0;-0.24417;21.975338
100.0;-1.098767;52.618727
100.0;0.732511;33.329263
100.0;1.953363;41.020632
100.0;0.366256;40.654376
100.0;-0.610426;38.212672
100.0;-0.366256;39.79978
100.0;0.24417;39.433524
100.0;-1.220852;42.363569
100.0;0.854596;44.439018
100.0;-0.732511;50.177023
100.0;0.0;40.04395
100.0;-1.709193;49.932852
100.0;-0.854596;39.067268
100.0;0.732511;47.491148
100.0;0.488341;34.18386
100.0;0.976682;39.79978
100.0;0.24417;22.70785
100.0;1.831278;45.171529
100.0;0.122085;17.3361
100.0;0.0;42.119399
100.0;-0.366256;15.016481
100.0;0.0;38.578928
100.0;0.976682;21.609083
100.0;0.854596;46.636552
100.0;2.441704;52.862898
100.0;0.366256;34.794286
100.0;1.098767;39.555609
100.0;0.854596;36.99182
100.0;0.610426;45.781955
100.0;-0.488341;24.661213
100.0;-0.610426;36.503479
100.0;0.976682;18.434867
100.0;0.0;37.358075
100.0;0.976682;19.89989
100.0;1.220852;40.288121
100.0;-1.465023;19.289464
100.0;-0.24417;44.927359
100.0;1.098767;50.177023
100.0;1.587108;35.160542
100.0;-0.366256;44.805273
100.0;0.732511;40.288121
100.0;1.220852;37.846416
100.0;-0.976682;34.061775
100.0;0.488341;45.049444
100.0;-0.24417;32.230496
100.0;1.587108;33.451349
100.0;0.732511;27.347088
100.0;-0.854596;35.893053
100.0;0.488341;24.905384
100.0;0.366256;43.340251
100.0;0.122085;23.806617
100.0;-0.24417;47.002807
100.0;-0.122085;39.433524
100.0;-1.465023;50.421193
100.0;2.80796;50.421193
100.0;-0.122085;34.550115
100.0;0.24417;50.787449
100.0;0.854596;38.212672
100.0;-0.24417;45.293614
100.0;-1.465023;28.201684
100.0;-0.366256;43.706506
100.0;1.709193;30.399218
100.0;0.366256;30.155048
100.0;0.732511;24.294958
100.0;-0.488341;37.23599
100.0;0.24417;20.876572
100.0;-1.709193;48.223659
100.0;-1.098767;14.894396
100.0;1.098767;43.462336
100.0;-0.976682;30.765474
100.0;-0.122085;42.85191
100.0;0.366256;31.742156
100.0;0.610426;47.735319
100.0;0.366256;47.124892
100.0;0.610426;41.142717
100.0;-1.220852;40.288121
100.0;0.366256;51.031619
100.0;0.0;58.356732
100.0;2.563789;46.880722
100.0;0.732511;43.950677
100.0;-0.610426;34.18386
100.0;0.122085;47.002807
100.0;-0.24417;36.381394
100.0;0.610426;44.683188
100.0;0.24417;42.973995
100.0;0.24417;51.886216
100.0;0.488341;24.905384
100.0;0.122085;39.555609
100.0;-0.610426;20.266145
100.0;1.098767;36.381394
100.0;0.24417;27.713344
100.0;1.342937;50.909534
100.0;0.0;36.99182
100.0;0.488341;43.584421
100.0;-0.24417;46.026126
100.0;-0.366256;48.834085
100.0;-0.122085;31.497985
100.0;0.0;38.945183
100.0;0.0;53.961664
100.0;1.342937;36.747649
100.0;-0.854596;53.229153
100.0;0.854596;34.305945
100.0;-0.488341;35.648882
100.0;-0.732511;26.858747
100.0;-0.732511;43.462336
100.0;-0.732511;26.370406
100.0;0.122085;47.613233
100.0;2.319619;31.009644
100.0;-0.366256;43.340251
100.0;-0.488341;24.661213
100.0;0.122085;43.218166
100.0;0.122085;20.388231
100.0;0.122085;30.032963
100.0;0.0;19.045293
100.0;-0.732511;35.282627
100.0;-0.854596;21.975338
100.0;-0.24417;44.683188
100.0;-1.098767;29.788792
100.0;0.0;44.072762
100.0;-0.610426;39.311439
100.0;0.366256;36.99182
100.0;0.610426;33.451349
100.0;0.122085;37.968501
100.0;0.24417;50.421193
100.0;0.610426;34.794286
100.0;-0.488341;36.747649
100.0;0.488341;23.806617
100.0;0.122085;41.142717
100.0;1.098767;19.533634
100.0;-1.831278;38.823098
100.0;0.122085;22.585765
100.0;-0.366256;40.654376
100.0;0.122085;21.486998
100.0;0.854596;42.363569
100.0;0.488341;24.050787
100.0;-0.488341;41.508973
100.0;0.366256;27.347088
100.0;0.854596;52.496642
100.0;1.465023;25.271639
100.0;1.831278;43.706506
100.0;0.0;48.46783
100.0;-0.610426;36.015138
100.0;0.122085;43.584421
100.0;0.732511;34.18386
100.0;0.488341;39.79978
100.0;0.0;19.289464
100.0;-0.122085;37.23599
100.0;0.24417;17.214015
100.0;0.24417;39.79978
100.0;1.098767;17.824441
100.0;-1.098767;36.99182
100.0;0.488341;19.533634
100.0;-0.488341;45.293614
100.0;-0.732511;18.923208
100.0;1.342937;46.758637
100.0;-1.098767;34.550115
100.0;-1.220852;47.857404
100.0;-0.732511;48.345745
100.0;0.976682;27.347088
