Sample;Frequency (GHz);LG (mV);HG (mV);Thickness (mm)
REF;100;52.252471;-0.488329;0
REF;100;27.225003;-1.587129;0
REF;100;61.530951;4.77E-05;0
REF;100;20.876572;-0.610399;0
REF;100;47.979489;-1.220846;0
REF;100;62.751801;-0.12207;0
REF;100;35.160542;0.244212;0
REF;100;51.27579;1.098752;0
REF;100;92.540593;-0.244188;0
REF;100;46.758637;-0.244164;0
REF;100;37.23599;0.610399;0
REF;100;7.325113;0.122023;0
REF;100;53.59541;-1.098776;0
REF;100;58.234648;-0.244164;0
REF;100;58.845073;0.732565;0
REF;100;66.658527;0.732493;0
REF;100;29.544622;-0.610375;0
REF;100;50.421193;1.465011;0
REF;100;61.042608;0.488329;0
REF;100;33.939689;-0.12207;0
REF;100;51.031619;0.488305;0
REF;100;41.386887;0.73247;0
REF;100;86.924674;2.38E-05;0
REF;100;84.849225;-0.732517;0
REF;100;70.565256;0.244164;0
REF;100;44.072764;-0.488353;0
REF;100;36.137223;-0.12207;0
REF;100;31.742156;0.122046;0
REF;100;85.703821;-0.12207;0
REF;100;49.566597;0.366211;0
REF;100;58.722989;-0.12207;0
REF;100;16.969845;-0.366235;0
REF;100;68.856062;-0.244164;0
REF;100;61.164694;0.366235;0
REF;100;27.591258;1.587057;0
REF;100;35.893053;-0.976658;0
REF;100;50.299108;0.610399;0
REF;100;74.227811;1.465011;0
REF;100;51.519962;0.366211;0
REF;100;12.941033;0.244164;0
REF;100;36.99182;-0.366282;0
REF;100;26.370406;0.244141;0
REF;100;30.277133;0.854611;0
REF;100;47.613235;-0.488305;0
REF;100;44.68319;0.12207;0
REF;100;54.08375;-0.488305;0
REF;100;27.469173;0.732517;0
REF;100;48.223659;1.953316;0
REF;100;48.46783;0.366259;0
REF;100;31.742156;0.610399;0
REF;100;17.3361;0.244212;0
REF;100;47.124892;0.610447;0
REF;100;58.478819;-0.366282;0
REF;100;39.311439;-0.488305;0
REF;100;79.965818;-1.464987;0
REF;100;48.101574;1.464963;0
REF;100;55.304602;0.610423;0
REF;100;47.613233;0;0
REF;100;62.141374;0.122094;0
REF;100;28.690025;-0.488353;0
REF;100;33.451349;1.098704;0
REF;100;51.153706;0.854588;0
REF;100;45.537785;0.244188;0
REF;100;29.422536;0.244188;0
REF;100;22.097424;-0.12207;0
REF;100;56.525454;0.610399;0
REF;100;38.334757;-0.12207;0
REF;100;40.166035;-0.366235;0
REF;100;24.050787;0.488353;0
REF;100;36.503479;-1.098776;0
REF;100;47.002809;-0.366235;0
REF;100;62.385544;-1.34294;0
REF;100;70.076913;0.732446;0
REF;100;56.891711;0.244164;0
REF;100;0.488341;1.342916;0
REF;100;45.90404;-0.610399;0
REF;100;29.788792;-2.38E-05;0
REF;100;36.259308;-1.220894;0
REF;100;52.740812;-0.732422;0
REF;100;40.776461;-7.15E-05;0
REF;100;62.141375;0.12207;0
REF;100;48.223659;0.610375;0
REF;100;15.016481;-0.610375;0
REF;100;47.857404;-2.38E-05;0
REF;100;39.555609;1.220822;0
REF;100;79.843733;0.12207;0
REF;100;48.834085;-1.342916;0
REF;100;81.308754;-0.244141;0
REF;100;40.166035;0.73247;0
REF;100;32.108411;-0.244141;0
REF;100;20.388231;-0.732565;0
REF;100;62.26346;-0.366235;0
REF;100;41.142717;-0.12207;0
REF;100;86.070079;0.122142;0
REF;100;51.275791;0.732493;0
REF;100;59.21133;-0.732517;0
REF;100;36.503479;-1.220894;0
REF;100;51.886216;1.831269;0
REF;100;77.402027;-0.122142;0
REF;100;72.762789;0.854564;0
REF;100;42.729825;0.488353;0
REF;100;65.193506;-0.854564;0
REF;100;23.196191;-0.244141;0
REF;100;70.565255;0.244164;0
REF;100;30.887559;0.610352;0
REF;100;41.753143;1.465011;0
REF;100;20.266145;-0.244117;0
REF;100;34.42803;0.732446;0
REF;100;41.508973;-0.366282;0
REF;100;53.961664;0.610399;0
REF;100;34.916373;0.366235;0
REF;100;19.89989;0.244117;0
REF;100;36.259308;-0.488353;0
REF;100;49.322428;-1.587129;0
REF;100;22.463679;1.709175;0
REF;100;62.873887;-4.77E-05;0
REF;100;29.300451;-0.122118;0
REF;100;60.432181;-0.366259;0
REF;100;108.533758;0.488329;0
REF;100;16.359419;-0.610447;0
REF;100;41.631058;0.732446;0
REF;100;42.60774;-0.732446;0
REF;100;34.916371;1.464987;0
REF;100;52.252473;-1.098752;0
REF;100;50.54328;-0.244188;0
REF;100;58.600904;-0.244164;0
REF;100;56.891711;-0.610375;0
REF;100;41.631058;-0.244164;0
REF;100;54.694177;0.122142;0
REF;100;40.898547;0.976682;0
REF;100;51.886216;-0.732446;0
REF;100;68.978147;0.488329;0
REF;100;56.769626;-0.610471;0
REF;100;46.026126;-0.732541;0
REF;100;55.426688;-0.244188;0
REF;100;1.709193;-1.22087;0
REF;100;84.849225;-0.854611;0
REF;100;30.521303;0.73247;0
REF;100;35.893053;0.854611;0
REF;100;-6.714687;0.610423;0
REF;100;36.747649;0.732446;0
REF;100;53.839581;0.610399;0
REF;100;51.153706;0.366235;0
REF;100;36.625564;0.732517;0
REF;100;63.484313;-0.610399;0
REF;100;10.621414;-1.098752;0
REF;100;12.086436;0.366235;0
REF;100;76.54743;-0.244188;0
REF;100;75.326578;-1.953363;0
REF;100;48.46783;-0.854564;0
REF;100;70.565253;1.342893;0
REF;100;41.142717;-0.12207;0
REF;100;36.381394;-0.244188;0
REF;100;76.30326;0.976706;0
REF;100;38.701013;0.244164;0
REF;100;50.421193;-0.610399;0
REF;100;41.997313;0.610399;0
REF;100;56.525455;-0.610375;0
REF;100;25.51581;-0.976658;0
REF;100;71.053596;-0.488353;0
REF;100;60.065925;0.488329;0
REF;100;60.554267;0.610423;0
REF;100;55.670857;0.244164;0
REF;100;48.46783;0.854564;0
REF;100;58.478819;0.244188;0
REF;100;31.3759;0.488353;0
REF;100;47.369064;-0.122094;0
REF;100;43.340251;-0.610423;0
REF;100;18.312782;0.732493;0
REF;100;49.932852;-1.342893;0
REF;100;36.503479;-0.488305;0
REF;100;30.155048;0.732517;0
REF;100;53.961664;0.610399;0
REF;100;36.625564;-0.366259;0
REF;100;42.85191;0.610352;0
REF;100;51.031619;0.122094;0
REF;100;82.407521;0.12207;0
REF;100;57.624222;-0.488377;0
REF;100;55.426688;0.366259;0
REF;100;41.264802;0;0
REF;100;29.056281;-0.366259;0
REF;100;70.198999;-0.12207;0
REF;100;14.650226;0.122094;0
REF;100;23.074105;0.488329;0
REF;100;50.665365;-0.488377;0
REF;100;48.712;-0.854588;0
REF;100;78.134538;-0.854635;0
REF;100;67.87938;-0.610399;0
REF;100;103.284094;0;0
REF;100;52.496642;0.366259;0
REF;100;30.032963;0.854611;0
REF;100;29.056281;-0.488353;0
REF;100;45.049444;0.732493;0
REF;100;47.124892;0.610352;0
REF;100;22.463679;0.244164;0
REF;100;71.786109;-1.098776;0
REF;100;71.786107;0.488377;0
REF;100;50.421193;1.220846;0
REF;100;40.288121;-1.709175;0
REF;100;34.672201;0.732493;0
REF;100;51.397875;1.22087;0
REF;100;52.130388;-0.122046;0
REF;100;36.015138;0.488377;0
REF;100;59.455501;-0.4884;0
REF;100;77.768281;-1.709151;0
REF;100;30.765474;-0.610471;0
REF;100;48.956172;-0.122046;0
REF;100;57.502137;0.854611;0
REF;100;21.242827;-0.366235;0
REF;100;60.310097;1.098728;0
REF;100;34.18386;1.098728;0
REF;100;56.89171;-0.244141;0
REF;100;84.72714;4.77E-05;0
REF;100;41.020633;0.244117;0
REF;100;32.230496;-0.12207;0
REF;100;12.208521;-4.77E-05;0
REF;100;26.492491;-1.465058;0
REF;100;8.545965;0.366259;0
REF;100;16.481504;0.732493;0
REF;100;9.034306;0.122046;0
REF;100;57.38005;0.12207;0
REF;100;6.226346;-1.464963;0
REF;100;19.89989;0.122094;0
REF;100;71.541937;-0.122094;0
REF;100;22.829935;-1.465011;0
REF;100;48.223659;-1.098776;0
REF;100;108.167504;1.098776;0
REF;100;39.06727;0.12207;0
REF;100;17.702356;-0.244141;0
REF;100;34.916371;-0.122046;0
REF;100;41.264802;-2.38E-05;0
REF;100;52.740814;-0.854564;0
REF;100;68.367721;0.976682;0
REF;100;98.644856;-0.854611;0
REF;100;23.928702;0.366259;0
REF;100;81.064583;0.488353;0
REF;100;48.223659;-0.366235;0
REF;100;52.740812;-1.220798;0
REF;100;58.600903;0.244164;0
REF;100;30.643389;-0.732517;0
REF;100;12.696862;-0.488305;0
REF;100;52.496643;-4.77E-05;0
REF;100;41.753143;-2.38E-05;0
REF;100;50.54328;1.464987;0
REF;100;3.906727;0.244117;0
REF;100;59.699669;-0.244164;0
REF;100;27.713344;-0.854588;0
REF;100;45.781955;-0.366235;0
REF;100;29.666707;2.38E-05;0
REF;100;31.864241;0.244164;0
REF;100;24.905384;-0.366306;0
REF;100;15.993163;-0.244164;0
REF;100;21.731168;-1.464963;0
REF;100;2.319619;1.709151;0
REF;100;76.30326;0.122118;0
REF;100;71.053596;-0.244141;0
REF;100;17.09193;0;0
REF;100;45.415701;0.366235;0
REF;100;48.712;-0.854564;0
REF;100;92.662682;-2.319574;0
REF;100;1.831278;1.098704;0
REF;100;41.386887;-0.366259;0
REF;100;57.38005;2.38E-05;0
REF;100;15.993163;-0.732517;0
REF;100;103.772435;0.610423;0
REF;100;76.05909;-1.0988;0
REF;100;18.679038;0.976682;0
REF;100;56.647539;-0.122118;0
REF;100;63.972652;-0.854588;0
REF;100;53.229153;-0.854611;0
REF;100;42.85191;-1.098752;0
REF;100;13.551459;-0.244141;0
REF;100;54.083751;1.709151;0
REF;100;-5.738005;-1.098776;0
REF;100;41.753143;0.854611;0
REF;100;46.392381;-0.366235;0
REF;100;33.451349;-0.610375;0
REF;100;68.001464;-0.122046;0
REF;100;40.898547;-0.366306;0
REF;100;21.731168;0.4884;0
REF;100;51.642045;-0.976658;0
REF;100;75.692834;0.488329;0
REF;100;70.321085;-0.85454;0
REF;100;30.643389;2.38E-05;0
REF;100;34.18386;0.366259;0
REF;100;22.219509;-0.85454;0
REF;100;60.676353;-0.488305;0
REF;100;38.090587;-0.122046;0
REF;100;28.81211;-0.366282;0
REF;100;12.574777;-0.732517;0
