Frequency (GHz);LG (mV) mean;HG (mV) mean;LG (mV) std deviation;HG (mV) std deviation;LG (mV) variance;HG (mV) variance
100.0;105.05008461573034;0.0156390150195955;29.72499316225856;0.7575526350526534;883.5752184963179;0.5738859948752186
100.0;105.51428257078652;-0.0576109785942247;27.869222719830923;0.747361291362011;776.6935750075402;0.5585488998262927
100.0;106.06517431910112;0.0288079476038651;26.49373719375289;0.7276389183035833;701.9181104916454;0.5294583954300088
100.0;104.15899767865167;0.0301750030833932;27.836500869403896;0.7161667346728038;774.8707806523239;0.5128947918519061
100.0;99.95213183146068;0.0609062354847191;29.904453062727697;0.7358276716004614;894.276312980884;0.5414423622929564
100.0;97.2753090224719;0.0460926479017528;27.963624066411068;0.6745949625558814;781.9642709275643;0.455078363505771
100.0;90.74800076404496;-0.0469126464802696;25.95073406973042;0.7407395975975731;673.4405987578671;0.5486951514490146
100.0;87.42481270786519;-0.0510274592526741;24.15165334294775;0.7225443561577654;583.3023591979191;0.5220703466154396
100.0;81.76389927865169;0.0203046426966291;25.45848622311362;0.7458936546001087;648.1345207724661;0.5563573439727063
100.0;76.91396074606743;-0.0071341316330786;24.343249952545666;0.7115019253689642;592.5938182521146;0.506234989803743
100.0;72.01326802022471;0.0150867933838876;25.06115361086262;0.7336094148941481;628.0614203072524;0.5381827736213344
100.0;71.72602478202248;-0.0071335660517303;24.38971808603413;0.7146077480443286;594.8583483162204;0.5106642335649866
100.0;66.34028349662921;0.0071342669453932;22.847324249101195;0.681622279875979;522.0002253435675;0.4646089324233275
100.0;66.40036589438202;0.0010974857486741;22.56849473768444;0.7315416476030612;509.33695472489006;0.5351531821778014
100.0;62.264831993258426;0.0378617687797303;23.01262595402921;0.7269671984678056;529.580953300059;0.5284813076481298
100.0;61.828342977528095;0.0216733435798427;23.34907670443101;0.7688816956585236;545.1793829494029;0.5911790619187265
100.0;61.2851323752809;0.0677623614423595;22.340534049980658;0.7472488774080959;499.0994616383452;0.5583808847876596
100.0;58.49966897977529;-0.0331965875829887;24.803656762933613;0.7909001677176773;615.2213888134224;0.6255230752958502
100.0;58.50405856853933;-0.0227685250169887;24.462426587286103;0.7122796790156325;598.410314538362;0.5073423411386124
100.0;57.94713033033708;0.028532579419955;20.775039484519468;0.7009781735998483;431.6022655833429;0.491370399863379
100.0;56.33944632808989;-0.0463635921923146;22.035676416801508;0.7358631754664876;485.5710351459821;0.5414946130076227
100.0;55.62065235280899;-0.0260619926625842;20.376651252934696;0.7634436556919251;415.2079162837252;0.5828462154162506
100.0;54.51777018202247;-0.0008221728037752;22.060167504680628;0.7978515144529772;486.65099033456704;0.6365670391149092
100.0;53.15315924269663;-0.0480132179775281;20.69421612299828;0.7165712790837307;428.250580945362;0.513474398007694
100.0;59.5165425;-0.061035;19.76894844162462;0.9496528924149076;390.8113224876125;0.9018406160719998
110.0;55.062158478787886;0.036748732694404;20.904469033927707;0.7222633883677049;436.9968255904424;0.5216644021763981
110.0;54.34543195959596;-0.0387209178106868;20.54202459293865;0.7132048797216284;421.97477437689633;0.5086612004587424
110.0;54.45321222222222;0.004931256142808;20.76509557594143;0.6699270649724814;431.1891942779824;0.4488022723826433
110.0;54.3691089959596;-0.0350212782617171;21.70335685209248;0.7187265777731916;471.03569864926953;0.5165678935975636
110.0;54.35702384848484;-0.0189909216349292;22.181388025777185;0.7091691875195177;492.01397475009145;0.5029209365270929
110.0;52.33262892525253;-0.006659978942909;20.129730573654737;0.7580810191379153;405.2060529679303;0.5746868315771803
110.0;52.0361714949495;0.0557387826732323;18.50863286589161;0.6908920018706548;342.56949056436304;0.4773317582488408
110.0;52.70899668888889;-0.0261434608221818;20.199078570282737;0.7034115706085883;408.0027750884553;0.4947878376660409
110.0;53.28538699191918;-0.0229379969180201;19.82575331269349;0.7181885540811002;393.0604944157769;0.5157947992131013
110.0;51.87413112727273;-0.069058984580707;18.940263019608462;0.7520872505273681;358.7335632519478;0.5656352324058161
110.0;52.76720294343435;0.0029570659243636;19.491480271239336;0.7129186714126052;379.9178031641123;0.5082530320487142
110.0;50.98451214343435;-0.0266354919708686;19.916016888549965;0.7258942404346836;396.6477287050074;0.5269224482962462
110.0;52.73070071313131;0.0303358373220606;18.971906432789662;0.6939339769781432;359.93323369452594;0.4815443644047021
110.0;51.75944495757576;-0.0051784950528282;19.473929843735142;0.7391108242678074;379.2339435587182;0.5462848105498377
110.0;52.42684421010102;0.0498187796946464;19.720419367472847;0.7291931614169411;388.8949400289981;0.5317226666572332
110.0;50.26087974343434;0.0076436640169495;18.321573873142505;0.7364286442912754;335.68006918901807;0.5423271481326859
110.0;52.02704592121212;-0.0537674711298585;20.0886187662005;0.6898279253644195;403.5526039337429;0.4758625666125791
110.0;50.56572288080809;-0.0108522490204444;18.715204799345;0.745045321731579;350.25889068142607;0.5550925314341121
110.0;52.53758407070708;-0.0288571467324848;20.14296459902716;0.7076460876208875;405.73902283766137;0.5007629853251488
110.0;50.80052113333333;-0.036010894836707;19.108674887123225;0.7198517014803194;365.1414559417738;0.518186472124111
110.0;51.65783068686869;0.0160280333850101;18.259676503095218;0.7139945079360368;333.41578599768764;0.5097881573628233
110.0;50.470274478787886;-0.0113454619873131;19.09047802097506;0.7379578286357246;364.4463510693319;0.5445817568447534
110.0;51.49505033131313;0.0471073441860606;18.55871730808417;0.7101133500270266;344.4259881213828;0.5042609698866064
110.0;50.99289773737374;-0.0293515879821212;18.150333829347947;0.6725144732909456;329.4346181167725;0.452275716785798
110.0;54.962764133333344;0.1627636772093333;20.14761205580902;0.5005385093043629;405.9262715513809;0.2505387992966338
120.0;83.95807132304901;-0.0119645292786932;29.403286141753984;0.7289578667924561;864.553235933862;0.5313795715586083
120.0;88.68638181125228;0.0192772355548094;32.407150715902326;0.7185999166982889;1050.2234175232086;0.5163858402787879
120.0;90.55887252631578;-0.0806488157430671;30.407972866423652;0.7321300692743725;924.6448138451572;0.5360144383356975
120.0;94.75430605444646;0.0046538400962069;29.193755507439345;0.7211783899396336;852.2753606281451;0.5200982701159222
120.0;95.70218378039928;-0.0152875912717059;29.84875135822678;0.714499039987111;890.9479576452451;0.5105088781425031
120.0;96.93389291288568;0.0283619256826315;30.247621945047044;0.6753842842348234;914.9186333304916;0.4561439313913847
120.0;96.76749385662433;-0.0385523335584754;29.2988423621349;0.7181062677978047;858.4221637612305;0.5156766118504925
120.0;98.47890290925592;0.0019953086312704;30.842051186856928;0.7116550518849063;951.2321214127028;0.5064529128733087
120.0;96.71653313974592;-0.0228234519984755;29.33676190734432;0.7289818113564546;860.6455992082085;0.5314144812885375
120.0;98.65615920508168;0.0744488336892014;30.806620764170574;0.6708496551223444;949.0478829074258;0.4500392597777684
120.0;97.58619657350272;-0.040990200498058;32.17635337781946;0.707149784474911;1035.3177166943135;0.500060817682913
120.0;99.16444162250454;-0.029689651635499;31.53577157916442;0.7133817468894081;994.5048890932344;0.5089135167949836
120.0;100.5689758983666;-0.012628128957931;31.41970103629044;0.7387550256749275;987.1976132098704;0.5457589879599628
120.0;103.52228671869328;-0.020825984999764;30.908604163674045;0.6986485048974245;955.3418113466886;0.4881097333954065
120.0;103.49525502540835;0.0312419897775499;30.41309534264488;0.7567989155784239;924.9563683208074;0.5727445986206784
120.0;105.60150223774956;-0.0135150980036297;30.69431423169611;0.7435301889319473;942.1409261541024;0.5528371418531772
120.0;104.7788116860254;0.0048760497615245;30.715039954265205;0.7087593336755043;943.4136793921078;0.5023397930721447
120.0;107.92089986388386;-0.0686854845735027;31.31239317166985;0.6765327267695518;980.4659661372366;0.4576965303902449
120.0;107.94549452268602;0.0046537486852631;32.68617288020704;0.7003972240309309;1068.3858975547823;0.4905562714302339
120.0;106.15520659346645;-0.0106333009834119;33.325812459233326;0.6999659201713919;1110.609776067991;0.4899522894013834
120.0;108.4876767168784;-0.0416548483180943;32.126158922207686;0.7041725374711687;1032.0900870949447;0.4958589625285844
120.0;105.29418440471868;0.0452016829696551;33.13492133285722;0.7595792451606528;1097.9230117346362;0.576960629678827
120.0;105.20976603266789;-0.0307981208289473;32.27865346315863;0.7011285936900636;1041.9114693946826;0.4915813048898063
120.0;105.68857947005444;-0.0689070271219056;32.67382018488942;0.6901735972687952;1067.5785254744876;0.4763395943669491
120.0;35.8243798125;-0.0152603322675;6.396607863649756;0.6580160320034817;40.91659216130589;0.432985098373607
130.0;31.909034640287768;0.0206413475991187;6.674728968223192;0.7492542886573468;44.55200679923784;0.5613819890714268
130.0;32.582918631294966;-0.0019744343985251;6.510735393991411;0.7227417379081884;42.3896753705725;0.5223556197145485
130.0;32.650548562949645;-0.056648304433669;6.348082181889128;0.713193608163998;40.29814738801823;0.5086451227259824
130.0;33.108368142086334;-0.0133919158440647;6.211505433973791;0.720311337850273;38.58279975628594;0.5188484234356501
130.0;33.23133166906475;-0.0559923071775;5.960667500871694;0.7351791934062044;35.52955705594801;0.5404884464173972
130.0;33.51722187410072;-0.0173460227204316;5.706798946018961;0.7164138005612501;32.56755421028313;0.5132487336346148
130.0;33.688492489208635;-0.0386454912916366;6.0645144349599365;0.7874965149170197;36.77833533183744;0.6201507610064517
130.0;33.8288026438849;-0.0234951421783093;5.984664970097042;0.7248118087600129;35.81621480430663;0.5253521581179615
130.0;34.09141761151079;0.0498449977246043;5.889219825710558;0.7705696930442463;34.682910155542295;0.593777651838304
130.0;34.705796088129496;-0.0292029784172482;5.885955434823158;0.7396411480601129;34.64447138072427;0.547069027903682
130.0;34.01741991366906;-0.0619213562071223;6.082966670845227;0.7553762582941317;37.002483518613865;0.5705932915944427
130.0;33.49153125539568;-0.0292031366906294;6.269624627051297;0.7260848757146268;39.308192964128125;0.527199246741525
130.0;34.20098691007194;0.0351331647063669;6.073012783361484;0.7731386542951117;36.88148426687201;0.5977433787652563
130.0;33.731968886690645;0.0465485805588309;6.132660143770841;0.7460429084398448;37.60952043899539;0.5565800212333826
130.0;34.25807710251799;-0.0955139470888489;6.239271073533894;0.7207301786990584;38.9285035290368;0.5194519904875766
130.0;34.49258611510791;0.038865376183705;6.084021575430247;0.7383603357203751;37.015318530300746;0.545175985365105
130.0;34.25785752158273;0.0006586273214028;5.84914722345526;0.741959112448724;34.21252324165438;0.5505033245456983
130.0;34.66539379496403;-0.0059270073782553;5.738450286203676;0.7417551972319216;32.92981168723105;0.5502007726205669
130.0;34.79472505395683;-0.0169078125732014;5.662044337029687;0.7523715926881311;32.058746074489946;0.5660630134840752
130.0;34.84654538669065;0.073119320419892;5.786069476064475;0.7427660627815201;33.47859998184503;0.551701424019961
130.0;33.568163897482016;-0.0311794451982913;5.933547696171144;0.7409942161441284;35.20698826273789;0.5490724283590512
130.0;34.252587645683455;-0.0173433646310971;5.939292603491894;0.7335272136995796;35.275196629893514;0.5380621732378688
130.0;34.44296155755396;-0.0252514049606834;6.065385683942883;0.7507800932739365;36.78890349497927;0.5636707484564207
130.0;37.14552423920863;0.0700451050694244;12.820851871073454;0.7357615797333461;164.3742427000077;0.541345102211709
130.0;114.67871566666666;0.4476149999999999;17.04404729961919;0.8128774829622235;290.4995483516562;0.660769802307
140.0;89.70826002139037;-0.0252429404303208;13.311866264377365;0.7708181687915772;177.2057834406681;0.5941606493392003
